window 60,b,c,d,window 120,b,c,d,C_60_train,C_120_train
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,100,100
0,0,0,0,0,0,0,0,99,99
0,0,0,0,0,0,0,0,99,99
0,0,0,0,0,0,0,0,98,98
0,0,0,0,0,0,0,0,98,98
2,0,0,2,3,0,0,3,97,97
10,0,0,10,12,0,0,12,96,96
30,0,0,30,27,0,0,27,93,94
35,0,0,35,37,0,0,37,94,94
39,0,0,39,35,0,0,35,95,95
30,0,0,30,34,0,0,34,96,96
43,0,0,43,42,0,0,42,95,95
63,0,0,63,73,0,0,73,93,91
129,0,0,130,143,2,2,145,83,81
261,18,13,275,244,33,22,266,58,58
272,78,49,321,253,55,34,287,39,44
176,68,32,208,185,76,37,222,37,33
104,59,19,123,101,43,15,116,29,34
22,10,2,24,35,19,5,40,28,24
1,2,0,1,4,3,0,4,7,15
0,0,0,0,0,0,0,0,16,17
0,0,0,0,0,0,0,0,18,13
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,4,1,4,8,5,1,9,0,6
34,16,3,37,44,21,6,50,22,18
113,45,16,129,100,30,10,111,30,36
166,24,11,177,175,35,17,192,49,43
255,122,91,346,239,147,116,355,38,38
278,419,351,629,267,382,330,597,10,16
236,621,570,807,251,574,528,780,2,4
253,632,609,863,246,637,609,855,3,2
292,542,522,815,290,545,520,810,7,7
326,442,394,720,289,509,454,743,12,9
234,562,444,678,243,533,415,659,5,6
179,551,360,539,192,498,331,524,2,4
170,321,162,332,162,318,172,334,8,9
110,109,36,146,108,130,50,158,17,14
30,27,5,35,40,36,9,49,11,10
1,2,0,1,5,7,1,7,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,5,1,4,9,10,2,10,0,5
41,57,13,54,49,80,23,72,10,6
117,220,81,197,117,194,78,195,2,9
177,354,191,368,165,374,210,375,5,3
182,560,390,571,204,486,341,545,1,4
266,499,406,672,247,534,434,681,7,5
273,562,520,793,265,570,523,789,7,6
219,710,683,902,223,694,663,887,1,2
199,748,714,913,205,731,692,897,0,1
191,728,653,845,190,725,645,835,0,0
177,689,544,721,176,684,539,715,0,0
159,619,401,561,164,586,387,551,0,1
156,395,198,354,148,386,207,355,6,7
111,137,45,156,105,164,65,170,17,14
31,30,5,37,42,42,10,52,12,10
1,2,0,1,6,7,1,7,0,3
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
4,7,1,5,12,14,2,14,1,4
45,43,9,54,49,78,24,73,20,16
103,275,109,212,104,273,119,223,21,18
140,558,297,437,135,530,297,431,3,6
143,715,494,637,153,675,471,623,0,2
178,729,599,777,171,737,603,773,2,1
192,749,689,880,188,754,686,873,1,1
189,777,747,937,187,778,742,929,0,0
188,780,745,933,187,777,735,922,0,0
179,766,687,866,178,764,679,857,0,0
164,737,582,745,164,731,575,738,0,0
147,670,435,581,150,646,424,574,0,1
145,454,227,372,138,448,236,373,5,5
108,172,57,165,98,202,81,179,16,15
30,22,4,35,40,54,14,54,27,26
1,0,0,1,5,4,1,6,40,34
0,0,0,0,0,0,0,0,36,34
0,0,0,0,0,0,0,0,24,24
0,0,0,0,0,0,0,0,19,23
0,0,0,0,0,0,0,0,26,26
0,0,0,0,0,0,0,0,30,30
0,0,0,0,0,0,0,0,29,30
0,0,0,0,0,0,0,0,30,25
0,0,0,0,0,0,0,0,14,16
4,6,1,5,11,28,5,16,6,6
45,93,19,65,48,136,38,86,11,10
96,383,140,235,94,368,148,242,11,8
127,616,321,448,139,561,297,435,2,4
164,669,464,627,156,676,471,627,4,3
169,760,623,793,208,670,546,754,2,5
281,593,542,824,234,680,616,850,10,6
228,722,696,924,257,661,632,889,5,7
309,561,539,848,308,552,528,836,12,12
395,341,303,699,375,359,325,701,21,21
351,221,185,536,356,189,161,517,31,33
293,27,18,311,300,54,38,338,48,43
189,26,13,202,186,22,11,198,50,53
70,9,3,73,90,19,6,96,64,50
21,13,2,23,26,10,2,28,33,38
1,1,0,1,6,6,1,7,26,23
0,0,0,0,0,0,0,0,29,28
0,0,0,0,0,0,0,0,19,16
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
3,4,1,4,10,23,4,14,6,4
43,97,20,63,53,85,21,74,10,10
123,207,72,195,110,253,103,213,14,9
156,464,248,403,173,381,210,383,5,10
261,393,262,522,268,369,235,502,13,14
394,140,110,504,382,174,131,513,33,30
454,96,89,543,454,112,102,557,37,35
483,122,116,599,478,96,91,570,34,37
469,40,38,507,460,58,55,515,43,42
408,31,28,437,416,41,36,452,46,43
356,90,67,424,349,71,53,402,35,37
274,91,62,336,271,73,50,321,32,35
175,42,19,193,178,48,22,200,34,32
91,40,13,103,89,30,10,99,29,34
18,7,1,20,30,14,4,33,28,21
1,2,0,1,3,2,0,3,0,8
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1
2,4,1,3,8,6,1,9,4,6
35,19,4,39,43,18,5,48,20,20
111,32,11,122,117,39,15,133,35,31
217,85,47,264,199,142,89,288,31,27
231,392,284,514,221,383,287,508,11,13
191,654,539,730,201,617,511,712,0,2
202,698,637,839,203,690,625,828,0,0
216,696,668,884,217,690,656,873,0,0
228,668,638,866,241,637,605,846,1,2
300,467,425,726,301,443,405,707,10,12
350,185,150,501,331,224,187,518,27,25
280,83,57,337,273,83,59,333,36,37
170,26,12,181,178,35,18,197,44,41
86,25,7,93,86,19,6,91,37,39
22,9,1,24,30,10,2,32,31,32
1,0,0,1,4,2,0,4,27,26
0,0,0,0,0,0,0,0,23,25
0,0,0,0,0,0,0,0,18,14
0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,4,1,3,8,10,2,10,0,1
38,35,7,45,45,27,6,51,8,11
111,38,11,122,112,35,10,122,31,29
174,19,9,183,171,19,9,179,50,49
199,6,4,203,215,10,6,221,64,60
231,4,4,234,242,7,6,248,67,65
320,23,22,342,328,20,18,346,58,57
440,61,58,499,419,61,59,478,42,44
466,117,112,578,438,86,81,519,33,39
411,129,115,526,389,206,174,563,34,27
273,431,331,605,280,373,276,556,9,14
185,506,330,515,190,477,313,503,0,1
161,312,154,316,153,322,168,321,5,3
99,127,37,137,96,146,54,150,10,9
25,28,5,30,34,48,11,46,9,6
1,2,0,1,4,5,1,5,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,4,1,3,8,6,1,9,0,4
36,28,6,42,41,21,5,45,15,18
98,30,8,106,104,36,13,117,42,37
173,140,83,256,156,210,134,291,38,32
180,530,372,552,184,468,343,528,6,12
182,683,563,745,179,684,561,740,0,0
181,759,694,875,181,753,684,865,0,0
178,804,769,947,178,797,756,934,0,0
184,795,756,939,234,679,645,879,1,6
336,421,381,718,281,541,483,764,19,13
244,563,432,677,269,502,376,645,11,14
144,696,447,591,151,676,429,580,2,2
106,643,300,406,118,572,277,395,0,3
87,337,105,192,79,343,125,204,9,7
32,63,11,43,39,100,23,62,8,6
1,2,0,1,6,10,2,7,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,5,1,3,10,25,4,14,0,0
40,141,29,70,43,172,46,89,0,0
92,429,147,238,86,408,157,244,0,0
116,633,327,443,115,618,327,441,0,0
134,740,503,637,134,730,497,631,0,0
151,788,645,796,149,790,641,790,0,0
159,831,757,916,158,827,748,907,0,0
163,853,816,979,162,849,805,967,0,0
162,852,810,972,161,850,801,962,0,0
156,837,748,903,155,835,740,894,0,0
144,806,636,780,143,801,629,772,0,0
126,754,484,611,125,749,481,606,0,0
102,665,309,412,104,630,304,409,0,1
81,372,116,198,74,370,133,208,8,6
31,62,11,43,36,118,28,65,8,6
1,3,0,1,5,13,2,8,0,1
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,5,1,3,9,18,3,12,0,1
40,117,25,65,44,151,41,85,2,1
95,394,136,231,90,372,146,236,0,1
123,595,307,430,121,579,307,428,0,0
141,704,478,619,141,696,473,614,0,0
158,759,617,775,159,751,607,766,0,0
178,768,699,877,188,745,671,858,0,1
271,616,588,859,274,602,569,843,7,7
399,287,276,675,370,323,309,679,26,24
407,144,125,531,379,238,208,587,34,27
331,239,194,525,333,216,167,500,23,25
272,195,118,389,261,222,143,404,21,19
187,166,82,269,184,161,85,269,17,18
95,47,15,110,99,64,24,124,26,21
22,16,3,25,32,18,4,36,13,13
1,2,0,1,4,5,1,5,0,2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,3,1,2,7,5,1,7,0,4
33,20,4,37,43,26,7,50,14,12
115,63,22,136,117,59,23,140,20,21
209,116,62,271,206,126,71,276,21,19
282,156,103,385,271,115,74,344,23,29
296,37,29,324,310,70,51,361,49,42
363,29,27,390,370,45,42,412,49,46
437,149,143,580,426,133,127,553,29,31
410,273,258,669,413,255,238,651,17,19
361,345,307,668,377,289,254,632,14,18
324,321,249,574,319,291,230,549,17,20
246,190,131,378,258,170,118,377,32,31
171,28,14,184,163,50,29,193,48,49
