Dhi,Dni,Ebh,Ghi,rain,tem,hum,,,,,,
11,3,1,11,1.7,22.6,99,,,,,,
0,0,0,0,1.4,22.5,99,,,,,,
0,0,0,0,0.2,22.9,99,,,,,,
0,0,0,0,0.5,22.6,99,,,,,,
0,0,0,0,2.6,22.5,99,,,,,,
0,0,0,0,2.1,22.3,99,,,,,,
0,0,0,0,1.4,22.4,99,,,,,,
0,0,0,0,0.6,22.3,99,,,,,,
0,0,0,0,0.2,22.3,99,,,,,,
0,0,0,0,0.1,22.5,99,,,,,,
0,0,0,0,0.1,22.4,99,,,,,,
21,10,2,23,0.1,22.5,99,,,,,,
35,3,1,36,0,23.1,99,,,,,,
108,10,5,113,0,23.8,97,,,,,,
96,3,2,98,0,25.5,91,,,,,,
365,183,151,516,0,26.1,88,,,,,,
278,45,41,319,0,25.4,90,,,,,,
208,5,5,213,0,25.6,89,,,,,,
228,7,6,235,0,26.3,86,,,,,,
306,27,24,330,0,27,80,,,,,,
311,247,192,502,0,28.3,80,,,,,,
70,826,534,605,0,27.6,80,,,,,,
94,577,279,373,0,26.8,82,,,,,,
98,124,34,132,0,26.5,82,,,,,,
23,70,12,34,0,24.8,92,,,,,,
0,0,0,0,0,24.3,99,,,,,,
0,0,0,0,0,24.1,98,,,,,,
0,0,0,0,0,23.6,99,,,,,,
0,0,0,0,0,22.4,99,,,,,,
0,0,0,0,0,22,99,,,,,,
0,0,0,0,0,21.7,99,,,,,,
0,0,0,0,0,21.4,99,,,,,,
0,0,0,0,0,21.8,99,,,,,,
0,0,0,0,0,22.2,99,,,,,,
1,1,0,1,0,22.3,99,,,,,,
40,64,11,51,0,22.6,99,,,,,,
109,52,16,125,0,23.5,99,,,,,,
187,36,19,206,0,24.8,99,,,,,,
290,130,91,381,0,26.6,93,,,,,,
301,29,24,325,0,26.2,95,,,,,,
251,12,11,262,0,26.2,95,,,,,,
342,71,69,410,0,27.1,92,,,,,,
384,36,34,418,0,28,88,,,,,,
195,6,6,201,0,26.2,96,,,,,,
338,196,154,492,0,26.9,93,,,,,,
238,116,73,311,0,26.2,95,,,,,,
184,164,78,262,0,26.8,89,,,,,,
90,52,14,105,0,26,94,,,,,,
20,29,5,25,0,25.1,98,,,,,,
0,0,0,0,0,25,99,,,,,,
0,0,0,0,0,25.5,97,,,,,,
0,0,0,0,0,25.1,99,,,,,,
0,0,0,0,0,25.6,94,,,,,,
0,0,0,0,0,25.2,96,,,,,,
0,0,0,0,0,24.9,99,,,,,,
0,0,0,0,0,24.6,99,,,,,,
0,0,0,0,0,24.5,99,,,,,,
0,0,0,0,0,24.3,99,,,,,,
0,0,0,0,0,24.2,99,,,,,,
34,43,7,41,0,24.3,99,,,,,,
93,28,9,102,0,25,95,,,,,,
210,84,45,255,0,26.3,86,,,,,,
246,240,163,409,0,27.4,84,,,,,,
360,115,94,454,0,28.3,81,,,,,,
256,11,9,265,0,27.5,85,,,,,,
426,226,218,644,0,29.2,80,,,,,,
431,160,153,584,0,29.8,74,,,,,,
94,886,798,892,0,29.7,72,,,,,,
157,662,524,681,0,29.3,73,,,,,,
236,316,202,438,0,29,73,,,,,,
149,376,178,327,0,27.5,80,,,,,,
91,54,14,105,0,27.3,79,,,,,,
17,10,2,18,0,26.4,83,,,,,,
0,0,0,0,0,26.2,84,,,,,,
0,0,0,0,0,26,86,,,,,,
0,0,0,0,0,25.7,88,,,,,,
0,0,0,0,0,25.6,88,,,,,,
0,0,0,0,0,25.6,89,,,,,,
0,0,0,0,0,25.4,89,,,,,,
0,0,0,0,0,25.4,90,,,,,,
0,0,0,0,0,25.5,90,,,,,,
0,0,0,0,0,25.5,89,,,,,,
0,0,0,0,0,25.2,92,,,,,,
33,45,8,40,0,25.4,92,,,,,,
94,27,8,103,0,25.9,90,,,,,,
132,11,6,138,0,26.2,90,,,,,,
153,6,4,158,0,26.5,89,,,,,,
331,43,35,366,0,27.3,85,,,,,,
404,89,81,485,0,27.7,86,,,,,,
396,244,236,631,0,28.1,84,,,,,,
403,119,115,518,0,27.9,86,,,,,,
252,10,9,261,0,27.4,87,,,,,,
105,3,2,108,0,27.1,88,,,,,,
246,49,32,277,0,26.7,91,,,,,,
95,8,4,99,0,26.3,92,,,,,,
72,22,6,78,0,26,94,,,,,,
19,20,3,22,0,26,94,,,,,,
0,0,0,0,0,26.1,94,,,,,,
0,0,0,0,0,26.1,94,,,,,,
0,0,0,0,0,25.7,97,,,,,,
0,0,0,0,0,25.9,96,,,,,,
0,0,0,0,0,25.6,98,,,,,,
0,0,0,0,0,25.6,97,,,,,,
0,0,0,0,0,25.8,94,,,,,,
0,0,0,0,0,25.7,97,,,,,,
0,0,0,0,0,25.8,97,,,,,,
0,0,0,0,0,25.8,96,,,,,,
17,4,1,17,0,25.9,95,,,,,,
84,17,5,89,0,26,94,,,,,,
71,4,2,73,0,25.9,96,,,,,,
73,3,2,75,0,25.7,99,,,,,,
227,10,8,236,0,26.9,90,,,,,,
356,35,33,388,0,27.8,84,,,,,,
412,268,257,669,0,28.4,85,,,,,,
378,330,316,695,0,29.6,80,,,,,,
343,339,306,650,0,29.5,79,,,,,,
346,143,116,462,0,28.2,86,,,,,,
284,40,26,310,0,26.9,91,,,,,,
195,98,45,241,0,26.4,94,,,,,,
75,17,4,80,0,26.4,93,,,,,,
17,8,1,19,0,26.4,91,,,,,,
0,0,0,0,0,26.1,92,,,,,,
0,0,0,0,0,26.3,90,,,,,,
0,0,0,0,0,26.1,90,,,,,,
0,0,0,0,0,24.9,99,,,,,,
0,0,0,0,0,25.1,99,,,,,,
0,0,0,0,0,25,97,,,,,,
0,0,0,0,0,25.8,95,,,,,,
0,0,0,0,0,26.1,91,,,,,,
0,0,0,0,0,26.1,90,,,,,,
0,0,0,0,0,26.1,92,,,,,,
33,12,2,35,0,25.8,98,,,,,,
65,6,2,67,0,26.2,94,,,,,,
174,14,7,181,0,26.3,93,,,,,,
114,2,2,116,0,27.5,89,,,,,,
269,8,7,276,0,28.3,84,,,,,,
368,17,15,383,0,28.5,82,,,,,,
388,27,26,414,0,28.6,82,,,,,,
